SYMBOL	TRANSCRIPT	COHORT	CANCER_TYPE	METHODS	MUTATIONS	SAMPLES	%_SAMPLES_COHORT	QVALUE_COMBINATION	ROLE	CGC_GENE	CGC_CANCER_GENE	DOMAINS	2D_CLUSTERS	3D_CLUSTERS	EXCESS_MIS	EXCESS_NON	EXCESS_SPL	IS_DRIVER	TOTAL_SAMPLES
ABCC4	ENST00000645237	CBIOP_WXS_ANGS_UNTREAT_2020	ANGS	oncodriveclustl,hotmaps	4	4.0	0.1176470588235294	1.833927821088493e-05	Act	False	False		1250:1250		0.9464674697705246	0.0	0.0	True	34
ABL1	ENST00000318560	TCGA_WXS_UCEC	UCEC	combination	13	10.0	0.0194174757281553	0.0011081336865465	LoF	True	False				0.5635097412592688	0.7703173826926656	0.0	True	515
ABL2	ENST00000502732	TCGA_WXS_BRCA	BRCA	combination	12	10.0	0.0099108027750247	0.0112008596388923	Act	True	False				0.5556858631334765	0.0	0.0	True	1009
ABL2	ENST00000502732	TCGA_WXS_UCEC	UCEC	combination	13	12.0	0.0233009708737864	0.3439367796801627	Act	True	False				0.2523767532542602	0.0	0.0	True	515
ACKR3	ENST00000272928	TCGA_WXS_OVT	OVT	combination	6	4.0	0.0097799511002444	0.1920015556047134	Act	True	False				0.8444210132626363	0.0	0.0	True	409
ACSL3	ENST00000357430	TCGA_WXS_AML	AML	oncodriveclustl	3	3.0	0.0214285714285714	2.303010444757601e-07	Act	True	False		188:188		0.9618529877814184	0.0	0.0	True	140
ACSL6	ENST00000651883	HARTWIG_WGS_LIPO_2023	LIPO	combination	2	2.0	0.074074074074074	0.0014339698142441	Act	True	False				0.983981435476589	0.0	0.0	True	27
ACSM3	ENST00000289416	CPTAC_WXS_GBM_2020	GBM	oncodriveclustl,dndscv,mutpanning,hotmaps	8	6.0	0.0606060606060606	8.453492633840773e-08	Act	False	False		584:584	584	0.9972454799418664	0.0	0.0	True	99
ACVR1	ENST00000434821	PEDCBIOP_WXS_HGG_PRY	HGGNOS	oncodriveclustl,dndscv,cbase,mutpanning,hotmaps	12	12.0	0.1132075471698113	1.673628121563157e-35	Act	True	True		328:328	328	0.9986024085922162	0.0	0.0	True	106
ACVR1	ENST00000434821	TCGA_WXS_HNSC	HNSC	combination	5	5.0	0.0099601593625498	0.1748641457421088	Act	True	False				0.7407186596411395	0.0	0.0	True	502
